name,region,country,lat,lon,tz_id,condition,temp_c,temp_f,is_day,wind_mph,pressure_mb,precip_mm,humidity,cloud,feelslike_c,feelslike_f,localtime,last_updated,name_normalized,system_id,record_id
Cunha,Sao Paulo,Brazil,-23.07,-44.96,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,34.5,94.0,2023-11-17 19:59:00,2023-11-17 19:45:00,Cunha,3513603,50
Guaratinguetá,Sao Paulo,Brazil,-22.81,-45.19,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,33.1,91.7,2023-11-17 19:59:00,2023-11-17 19:45:00,Guaratingueta,3518404,50
Lorena,Sao Paulo,Brazil,-22.73,-45.12,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,32.8,91.1,2023-11-17 19:59:00,2023-11-17 19:45:00,Lorena,3527207,50
Piquete,Sao Paulo,Brazil,-22.61,-45.19,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,32.8,91.1,2023-11-17 19:59:00,2023-11-17 19:45:00,Piquete,3538501,50
Potim,Sao Paulo,Brazil,-22.83,-45.26,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,32.9,91.3,2023-11-17 19:59:00,2023-11-17 19:45:00,Potim,3540754,50
Roseira,Sao Paulo,Brazil,-22.89,-45.31,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,32.9,91.3,2023-11-17 19:59:00,2023-11-17 19:45:00,Roseira,3544301,50
Arapeí,Sao Paulo,Brazil,-22.67,-44.44,America/Sao_Paulo,Clear,25.6,78.0,0.0,4.5,1006.0,0.0,59.0,8.0,26.7,80.0,2023-11-17 19:59:00,2023-11-17 19:45:00,Arapei,3503158,50
Areias,Rio de Janeiro,Brazil,-22.58,-44.7,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,34.2,93.5,2023-11-17 19:59:00,2023-11-17 19:45:00,Areias,3503505,50
Bananal,Rio de Janeiro,Brazil,-22.68,-44.33,America/Sao_Paulo,Clear,23.7,74.7,0.0,2.9,1007.0,0.0,73.0,8.0,25.5,77.9,2023-11-17 19:59:00,2023-11-17 19:45:00,Bananal,3504909,50
Cruzeiro,Sao Paulo,Brazil,-22.57,-44.97,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,32.7,90.8,2023-11-17 19:59:00,2023-11-17 19:45:00,Cruzeiro,3513405,50
Lavrinhas,Sao Paulo,Brazil,-22.57,-44.9,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,32.7,90.8,2023-11-17 19:59:00,2023-11-17 19:45:00,Lavrinhas,3526605,50
Queluz,Sao Paulo,Brazil,-22.53,-44.78,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,32.7,90.8,2023-11-17 19:59:00,2023-11-17 19:45:00,Queluz,3541901,50
São José do Barreiro,Rio de Janeiro,Brazil,-22.64,-44.58,America/Sao_Paulo,Clear,30.3,86.5,0.0,4.9,1006.0,0.0,56.0,8.0,32.9,91.1,2023-11-17 19:59:00,2023-11-17 19:45:00,Sao Jose do Barreiro,3549607,50
Silveiras,Sao Paulo,Brazil,-22.66,-44.85,America/Sao_Paulo,Partly cloudy,31.0,87.8,0.0,3.8,1009.0,0.0,49.0,50.0,32.7,90.8,2023-11-17 19:59:00,2023-11-17 19:45:00,Silveiras,3552007,50
Caraguatatuba,Sao Paulo,Brazil,-23.61,-45.41,America/Sao_Paulo,Clear,23.0,73.4,0.0,3.4,1006.0,0.0,76.0,11.0,25.0,77.1,2023-11-17 19:59:00,2023-11-17 19:45:00,Caraguatatuba,3510500,50
Ilhabela,Sao Paulo,Brazil,-23.78,-45.36,America/Sao_Paulo,Clear,23.3,73.9,0.0,5.6,1005.0,0.0,84.0,13.0,25.4,77.7,2023-11-17 19:59:00,2023-11-17 19:45:00,Ilhabela,3520400,50
São Sebastião,Sao Paulo,Brazil,-23.8,-45.41,America/Sao_Paulo,Clear,23.3,73.9,0.0,5.6,1005.0,0.0,84.0,13.0,25.4,77.7,2023-11-17 19:59:00,2023-11-17 19:45:00,Sao Sebastiao,3550704,50
Ubatuba,Sao Paulo,Brazil,-23.43,-45.08,America/Sao_Paulo,Clear,23.0,73.4,0.0,3.4,1006.0,0.0,76.0,11.0,25.0,77.1,2023-11-17 19:59:00,2023-11-17 19:45:00,Ubatuba,3555406,50
