name,region,country,lat,lon,tz_id,localtime_epoch,localtime,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,gust_mph,gust_kph,real_city_name,text,icon,code
Cacapava,Sao Paulo,Brazil,-23.25,-45.69,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.8,89.3,10.0,6.0,6.6,10.6,Jambeiro,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Cacapava,Sao Paulo,Brazil,-23.25,-45.69,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.8,89.3,10.0,6.0,6.6,10.6,Jambeiro,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Monteiro Lobato,Sao Paulo,Brazil,-22.95,-45.84,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.2,90.0,10.0,6.0,5.6,9.1,Monteiro Lobato,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Monteiro Lobato,Sao Paulo,Brazil,-22.95,-45.84,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.2,90.0,10.0,6.0,5.6,9.1,Monteiro Lobato,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Paraibuna,Sao Paulo,Brazil,-23.39,-45.66,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.8,89.3,10.0,6.0,6.6,10.6,Paraibuna,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Paraibuna,Sao Paulo,Brazil,-23.39,-45.66,America/Sao_Paulo,1700261965,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,31.8,89.3,10.0,6.0,6.6,10.6,Paraibuna,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Santa Branca,Sao Paulo,Brazil,-23.39,-45.89,America/Sao_Paulo,1700261966,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.4,90.2,10.0,6.0,6.2,10.0,Santa Branca,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Santa Branca,Sao Paulo,Brazil,-23.39,-45.89,America/Sao_Paulo,1700261966,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,70.0,ENE,1009.0,29.8,0.0,0.0,46.0,50.0,32.4,90.2,10.0,6.0,6.2,10.0,Santa Branca,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Campos Do Jordao,Sao Paulo,Brazil,-22.73,-45.58,America/Sao_Paulo,1700261967,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Campos do Jordão,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Campos Do Jordao,Sao Paulo,Brazil,-22.73,-45.58,America/Sao_Paulo,1700261967,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Campos do Jordão,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Bonfim,Sao Paulo,Brazil,-23.08,-45.19,America/Sao_Paulo,1700261967,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,28.1,82.6,10.0,6.0,8.5,13.6,Lagoinha,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
