name,region,country,lat,lon,tz_id,condition,temp_c,temp_f,is_day,wind_mph,pressure_mb,precip_mm,humidity,cloud,feelslike_c,feelslike_f,localtime,last_updated,name_normalized,system_id,record_id
Guaratinguetá,Sao Paulo,Brazil,-22.81,-45.19,America/Sao_Paulo,Clear,19.6,67.3,0.0,2.2,1010.0,0.0,67.0,10.0,19.6,67.3,2023-11-17 01:59:00,2023-11-17 01:45:00,Guaratingueta,3518404,18
Lorena,Sao Paulo,Brazil,-22.73,-45.12,America/Sao_Paulo,Clear,19.1,66.4,0.0,3.1,1010.0,0.0,60.0,11.0,19.1,66.4,2023-11-17 02:03:00,2023-11-17 02:00:00,Lorena,3527207,18
Piquete,Sao Paulo,Brazil,-22.61,-45.19,America/Sao_Paulo,Clear,19.1,66.4,0.0,3.1,1010.0,0.0,60.0,11.0,19.1,66.4,2023-11-17 02:03:00,2023-11-17 02:00:00,Piquete,3538501,18
Potim,Sao Paulo,Brazil,-22.83,-45.26,America/Sao_Paulo,Clear,18.9,65.9,0.0,2.7,1010.0,0.0,63.0,11.0,18.9,65.9,2023-11-17 02:02:00,2023-11-17 02:00:00,Potim,3540754,18
Roseira,Sao Paulo,Brazil,-22.89,-45.31,America/Sao_Paulo,Clear,18.9,65.9,0.0,2.7,1010.0,0.0,63.0,11.0,18.9,65.9,2023-11-17 02:03:00,2023-11-17 02:00:00,Roseira,3544301,18
Arapeí,Sao Paulo,Brazil,-22.67,-44.44,America/Sao_Paulo,Patchy rain possible,23.0,73.3,0.0,2.2,1009.0,0.26,71.0,75.0,25.0,77.0,2023-11-17 02:03:00,2023-11-17 02:00:00,Arapei,3503158,18
Areias,Rio de Janeiro,Brazil,-22.58,-44.7,America/Sao_Paulo,Patchy rain possible,18.7,65.7,0.0,2.2,1010.0,0.56,70.0,77.0,18.7,65.7,2023-11-17 02:03:00,2023-11-17 02:00:00,Areias,3503505,18
Bananal,Rio de Janeiro,Brazil,-22.68,-44.33,America/Sao_Paulo,Clear,21.2,70.1,0.0,2.2,1009.0,0.0,77.0,11.0,21.2,70.1,2023-11-17 02:03:00,2023-11-17 02:00:00,Bananal,3504909,18
Cruzeiro,Sao Paulo,Brazil,-22.57,-44.97,America/Sao_Paulo,Patchy rain possible,23.4,74.1,0.0,2.5,1010.0,0.18,56.0,88.0,25.0,77.1,2023-11-17 02:00:00,2023-11-17 02:00:00,Cruzeiro,3513405,18
Lavrinhas,Sao Paulo,Brazil,-22.57,-44.9,America/Sao_Paulo,Patchy rain possible,23.4,74.1,0.0,2.5,1010.0,0.18,56.0,88.0,25.0,77.1,2023-11-17 02:03:00,2023-11-17 02:00:00,Lavrinhas,3526605,18
Queluz,Sao Paulo,Brazil,-22.53,-44.78,America/Sao_Paulo,Patchy rain possible,23.4,74.1,0.0,2.5,1010.0,0.18,56.0,88.0,25.0,77.1,2023-11-17 02:03:00,2023-11-17 02:00:00,Queluz,3541901,18
São José do Barreiro,Rio de Janeiro,Brazil,-22.64,-44.58,America/Sao_Paulo,Patchy rain possible,18.7,65.7,0.0,2.2,1010.0,0.56,70.0,77.0,18.7,65.7,2023-11-17 02:03:00,2023-11-17 02:00:00,Sao Jose do Barreiro,3549607,18
Silveiras,Sao Paulo,Brazil,-22.66,-44.85,America/Sao_Paulo,Patchy rain possible,23.4,74.1,0.0,2.5,1010.0,0.18,56.0,88.0,25.0,77.1,2023-11-17 02:03:00,2023-11-17 02:00:00,Silveiras,3552007,18
Caraguatatuba,Sao Paulo,Brazil,-23.61,-45.41,America/Sao_Paulo,Mist,22.7,72.9,0.0,2.2,1010.0,0.0,94.0,48.0,25.1,77.2,2023-11-17 02:03:00,2023-11-17 02:00:00,Caraguatatuba,3510500,18
Ilhabela,Sao Paulo,Brazil,-23.78,-45.36,America/Sao_Paulo,Mist,21.5,70.7,0.0,2.2,1009.0,0.0,95.0,51.0,21.5,70.7,2023-11-17 02:03:00,2023-11-17 02:00:00,Ilhabela,3520400,18
São Sebastião,Sao Paulo,Brazil,-23.8,-45.41,America/Sao_Paulo,Mist,21.5,70.7,0.0,2.2,1009.0,0.0,95.0,51.0,21.5,70.7,2023-11-17 02:03:00,2023-11-17 02:00:00,Sao Sebastiao,3550704,18
Ubatuba,Sao Paulo,Brazil,-23.43,-45.08,America/Sao_Paulo,Mist,22.7,72.9,0.0,2.2,1010.0,0.0,94.0,48.0,25.1,77.2,2023-11-17 02:02:00,2023-11-17 02:00:00,Ubatuba,3555406,18
