name,region,country,lat,lon,tz_id,localtime_epoch,localtime,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,gust_mph,gust_kph,real_city_name,text,icon,code
Cacapava,Sao Paulo,Brazil,-23.25,-45.69,America/Sao_Paulo,1700153073,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,33.0,91.4,1.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",5.6,9.0,250.0,WSW,1010.0,29.83,0.0,0.0,47.0,25.0,31.4,88.5,10.0,6.0,8.7,14.1,Jambeiro,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003
Cacapava,Sao Paulo,Brazil,-23.25,-45.69,America/Sao_Paulo,1700153073,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,33.0,91.4,1.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",5.6,9.0,250.0,WSW,1010.0,29.83,0.0,0.0,47.0,25.0,31.4,88.5,10.0,6.0,8.7,14.1,Jambeiro,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003
Monteiro Lobato,Sao Paulo,Brazil,-22.95,-45.84,America/Sao_Paulo,1700153074,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,33.0,91.4,1.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",5.6,9.0,250.0,WSW,1010.0,29.83,0.0,0.0,47.0,25.0,31.5,88.6,10.0,6.0,5.7,9.1,Monteiro Lobato,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003
Monteiro Lobato,Sao Paulo,Brazil,-22.95,-45.84,America/Sao_Paulo,1700153074,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,33.0,91.4,1.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",5.6,9.0,250.0,WSW,1010.0,29.83,0.0,0.0,47.0,25.0,31.5,88.6,10.0,6.0,5.7,9.1,Monteiro Lobato,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003
Paraibuna,Sao Paulo,Brazil,-23.39,-45.66,America/Sao_Paulo,1700153075,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,33.0,91.4,1.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",5.6,9.0,250.0,WSW,1010.0,29.83,0.0,0.0,47.0,25.0,31.4,88.5,10.0,6.0,8.7,14.1,Paraibuna,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003
Paraibuna,Sao Paulo,Brazil,-23.39,-45.66,America/Sao_Paulo,1700153075,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,33.0,91.4,1.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",5.6,9.0,250.0,WSW,1010.0,29.83,0.0,0.0,47.0,25.0,31.4,88.5,10.0,6.0,8.7,14.1,Paraibuna,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003
Santa Branca,Sao Paulo,Brazil,-23.39,-45.89,America/Sao_Paulo,1700153075,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,33.0,91.4,1.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",5.6,9.0,250.0,WSW,1010.0,29.83,0.0,0.0,47.0,25.0,31.0,87.7,10.0,6.0,12.1,19.5,Santa Branca,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003
Santa Branca,Sao Paulo,Brazil,-23.39,-45.89,America/Sao_Paulo,1700153075,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,33.0,91.4,1.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",5.6,9.0,250.0,WSW,1010.0,29.83,0.0,0.0,47.0,25.0,31.0,87.7,10.0,6.0,12.1,19.5,Santa Branca,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003
Campos Do Jordao,Sao Paulo,Brazil,-22.73,-45.58,America/Sao_Paulo,1700152847,2023-11-16 13:40,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,33.2,91.7,10.0,6.0,8.7,14.1,Campos do Jordão,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Campos Do Jordao,Sao Paulo,Brazil,-22.73,-45.58,America/Sao_Paulo,1700152847,2023-11-16 13:40,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,33.2,91.7,10.0,6.0,8.7,14.1,Campos do Jordão,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Bonfim,Sao Paulo,Brazil,-23.08,-45.19,America/Sao_Paulo,1700153075,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,34.0,93.2,10.0,6.0,7.2,11.6,Lagoinha,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Bonfim,Sao Paulo,Brazil,-23.08,-45.19,America/Sao_Paulo,1700153075,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,34.0,93.2,10.0,6.0,7.2,11.6,Lagoinha,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Natividade Da Serra,Sao Paulo,Brazil,-23.37,-45.45,America/Sao_Paulo,1700153077,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,36.5,97.6,10.0,6.0,2.3,3.7,Natividade da Serra,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Natividade Da Serra,Sao Paulo,Brazil,-23.37,-45.45,America/Sao_Paulo,1700153077,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,36.5,97.6,10.0,6.0,2.3,3.7,Natividade da Serra,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Pindamonhangaba,Sao Paulo,Brazil,-22.92,-45.46,America/Sao_Paulo,1700153077,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,33.9,93.1,10.0,6.0,5.7,9.1,Pindamonhangaba,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Pindamonhangaba,Sao Paulo,Brazil,-22.92,-45.46,America/Sao_Paulo,1700153077,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,33.9,93.1,10.0,6.0,5.7,9.1,Pindamonhangaba,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Redencao Da Serra,Sao Paulo,Brazil,-23.26,-45.54,America/Sao_Paulo,1700153077,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,34.0,93.1,10.0,6.0,5.7,9.1,Redenção da Serra,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Redencao Da Serra,Sao Paulo,Brazil,-23.26,-45.54,America/Sao_Paulo,1700153077,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,34.0,93.1,10.0,6.0,5.7,9.1,Redenção da Serra,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Campos Do Jordao,Sao Paulo,Brazil,-22.83,-45.66,America/Sao_Paulo,1700153078,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,33.9,93.1,10.0,6.0,5.7,9.1,Santo Antônio do Pinhal,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Campos Do Jordao,Sao Paulo,Brazil,-22.83,-45.66,America/Sao_Paulo,1700153078,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,33.9,93.1,10.0,6.0,5.7,9.1,Santo Antônio do Pinhal,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Paraisopolis,Minas Gerais,Brazil,-22.68,-45.73,America/Sao_Paulo,1700153079,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,33.9,93.1,10.0,6.0,5.7,9.1,São Bento do Sapucaí,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Paraisopolis,Minas Gerais,Brazil,-22.68,-45.73,America/Sao_Paulo,1700153079,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,33.9,93.1,10.0,6.0,5.7,9.1,São Bento do Sapucaí,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Sao Luiz Do Parahytinga,Sao Paulo,Brazil,-23.22,-45.31,America/Sao_Paulo,1700153080,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,34.0,93.2,10.0,6.0,7.2,11.6,São Luiz do Paraitinga,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Sao Luiz Do Parahytinga,Sao Paulo,Brazil,-23.22,-45.31,America/Sao_Paulo,1700153080,2023-11-16 13:44,1700152200.0,2023-11-16 13:30,35.0,95.0,1.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,320.0,NW,1009.0,29.8,0.0,0.0,27.0,0.0,34.0,93.2,10.0,6.0,7.2,11.6,São Luiz do Paraitinga,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
